name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,linkedin,country,companyStatus
Dealflow,https://www.eu-startups.com/directory/dealflow/,Denmark,"Dealflow is the #1 invoicing platform for online entrepreneurs, providing free global transfers, instant payouts, and automated invoicing processes.Dealflow is an invoicing platform for global companies, and it is the only platform of its kind that is able to combine free global transfers, instant payouts and payment flow automation in one place.","Dealflow is an invoicing platform for global companies, and it is the only platform of its kind that is able to combine free global transfers, instant payouts and payment flow automation in one place.Dealflow is an invoicing platform for global companies, and it is the only platform of its kind that is able to combine free global transfers, instant payouts and payment flow automation in one place.",København,"Tag Management,Godaddy Nameserver,Marketing Automation,",Between €100K-€500K,2021,https://www.dealflow.live/,https://www.linkedin.com/,DK,Active
Cydef,https://www.eu-startups.com/directory/cydef/,Norway,"Cydef is an IT startup that helps keep your business safe. They specialize in IT security, security testing, incident handling, security compliance, risk management and privacy. They are based in Brumunddal, Norway.",,Brumunddal,"Cyber Security, Information Technology",No funding announced yet,2017,cydef.no/,,NO,
Cordel,https://www.eu-startups.com/directory/cordel/,Norway,"Cordel is a platform  that helps craftsmen with invoicing,quotation, project management, and more. It offers all the tools you need and helps you get control, work more efficiently. They are based in Ålesund, Norway.",,Ålesund,"Information Technology, Software, Project Management",No funding announced yet,2017,www.cordel.no/,,NO,
Cubit,https://www.eu-startups.com/directory/cubit/,Norway,"Cubit is a technology company that specialises in-the-field auditing and inspection solutions. Cubit is inspired by consumer software and use the latest technology to tailor its products to a range of industries. The company partnered with Norways larges utilities company Hafslund to create a revolutionary audit solution for electricity safety audits. The result is Cubit Audit, the first real SaaS product for Norwegian grid owners.",,Bergen,"Information Services, Information Technology, SaaS",No funding announced yet,2017,https://cubit.no/,,NO,
Confrere,https://www.eu-startups.com/directory/confrere/,Norway,"Confrere is a Norwegian startup that offers a video calling tool that is secure, and user-friendly. The platform is idea for any professional who wants to have 1-1 meetings with their clients, patients, leads, and more. Confrere is based in Oslo, Norway.",,Oslo,"B2B, SaaS, Video Conferencing",Between €1 million-€ 2.5 million,2017,confrere.com,,NO,
Compax Solutions,https://www.eu-startups.com/directory/compax-solutions/,Norway,"Founded in 2017, Compax Solutions has developed the next generation smart waste bin for paper waste in public and commercial restrooms. Compax Solutions AS was founded to pursue the vision of contributing to a more efficient and sustainable society. It aims at introducing solutions that makes every day life easier, more sustainable and impact the future society.",,Trondheim,"Facility Management, Internet of Things, Waste Management",No funding announced yet,2017,https://www.compax.no/,,NO,
Cognitec,https://www.eu-startups.com/directory/cognitec/,Norway,"Cognitec is a Norwegian company that offers cloud services, project management, web and mobile application development services. It's based in Oslo, Norway and opened it's doors in 2017.",,Oslo,"Information Technology, Mobile Apps, Project Management, Web Development",No funding announced yet,2017,www.cognitec.no/,,NO,
Cognite,https://www.eu-startups.com/directory/cognite/,Norway,"Cognite is a platform whose mission is to make data do more.  Their data Fusion gets rid of complexity of underlying IT/OT source systems and add in industrial domain knowledge into your data fabric, availing immediate access to trustworthy contextualized data for informed business decisions. The startup is based in Lysaker, Norway.",,Lysaker,"Artificial Intelligence, Data Visualization, Information Technology, Internet of Things",No funding announced yet,2017,www.cognite.com/,,NO,
Circular Norway,https://www.eu-startups.com/directory/circular-norway/,Norway,"Circular Norway is a driving force for the conversion of Norwegian business and industry to a circular economy. Circular Norway does this by facilitating innovation and business development that optimizes the wood cycle, creates new value flows and reduces resource use. It acts as the green shift room that increases knowledge about circular economy, builds communities and forms innovative business areas within circular economy.",,Oslo,"Service Industry, Non-profit Organization, Organization Management",No funding announced yet,2017,https://www.circularnorway.no/,,NO,
ChargeGuard,https://www.eu-startups.com/directory/chargeguard/,Norway,"ChargeGuard is the intelligent charging solution for safer charging and extended battery life on your mobile devices. It's plugged in between your regular charger and phone/tablet.  ChargeGuard automatically cuts off the power supply at the limit YOU set for your phone. The advanced power management will alert you if the charger overheats, minimizes battery wear, and gives universal charging regardless of brand on phone and charger.",,Hornnes,"Electronics, Mobile, Energy",Between €1-€100K,2017,https://www.getchargeguard.com/,,NO,
